# N Sco 2012
# 2012-07-15T 0:56:35.2
# 
#     Wavelength       Flux    Uncertainty       Counts  Uncertainty
# 
       5814.5048  5.78656e-14  1.70750e-15      1199.69      35.4005
       5815.6054  5.76090e-14  1.69696e-15      1196.85      35.2550
       5816.7060  5.70643e-14  1.68522e-15      1187.71      35.0756
       5817.8066  5.70130e-14  1.68822e-15      1188.51      35.1931
       5818.9072  5.63451e-14  1.67903e-15      1176.31      35.0529
       5820.0078  5.71432e-14  1.69302e-15      1194.73      35.3972
       5821.1084  5.55705e-14  1.67361e-15      1163.51      35.0414
       5822.2090  5.29595e-14  1.63651e-15      1110.56      34.3177
       5823.3096  5.34542e-14  1.63890e-15      1122.67      34.4212
       5824.4102  5.34874e-14  1.64108e-15      1125.12      34.5206
       5825.5108  5.55754e-14  1.67223e-15      1170.70      35.2256
       5826.6114  5.55162e-14  1.65529e-15      1171.12      34.9185
       5827.7120  5.34397e-14  1.63191e-15      1128.73      34.4686
       5828.8126  5.33956e-14  1.63083e-15      1129.36      34.4934
       5829.9132  5.25799e-14  1.62067e-15      1113.47      34.3204
       5831.0138  5.28245e-14  1.62012e-15      1120.19      34.3561
       5832.1144  5.39365e-14  1.63388e-15      1145.41      34.6975
       5833.2150  5.20143e-14  1.60279e-15      1106.17      34.0860
       5834.3156  5.00768e-14  1.58441e-15      1066.49      33.7434
       5835.4162  5.08933e-14  1.59245e-15      1085.43      33.9632
       5836.5168  4.86337e-14  1.55206e-15      1038.72      33.1489
       5837.6174  4.66886e-14  1.51597e-15      998.604      32.4246
       5838.7180  4.34859e-14  1.46086e-15      931.383      31.2888
       5839.8186  4.13754e-14  1.42883e-15      887.341      30.6429
       5840.9192  3.97235e-14  1.39444e-15      853.122      29.9477
       5842.0198  4.14827e-14  1.43592e-15      892.276      30.8859
       5843.1203  4.30775e-14  1.47239e-15      927.995      31.7188
       5844.2209  4.21810e-14  1.46726e-15      910.042      31.6556
       5845.3215  4.67867e-14  1.54025e-15      1010.65      33.2713
       5846.4221  5.22555e-14  1.59223e-15      1130.14      34.4356
       5847.5227  5.43360e-14  1.61985e-15      1176.79      35.0823
       5848.6233  5.73767e-14  1.66771e-15      1244.71      36.1788
       5849.7239  6.13043e-14  1.72230e-15      1332.19      37.4267
       5850.8245  6.79356e-14  1.79040e-15      1478.78      38.9722
       5851.9251  7.29450e-14  1.86133e-15      1590.24      40.5778
       5853.0257  7.54746e-14  1.89142e-15      1647.82      41.2951
       5854.1263  7.28144e-14  1.86351e-15      1591.86      40.7397
       5855.2269  7.37840e-14  1.86604e-15      1615.13      40.8477
       5856.3275  7.10517e-14  1.84513e-15      1557.67      40.4507
       5857.4281  6.95935e-14  1.81414e-15      1527.99      39.8311
       5858.5287  6.45154e-14  1.75038e-15      1418.63      38.4892
       5859.6293  5.94719e-14  1.69539e-15      1309.69      37.3359
       5860.7299  5.90794e-14  1.67701e-15      1303.06      36.9885
       5861.8305  5.67581e-14  1.63133e-15      1253.81      36.0367
       5862.9311  5.20762e-14  1.56578e-15      1152.20      34.6431
       5864.0317  4.86903e-14  1.52187e-15      1079.11      33.7290
       5865.1323  4.27273e-14  1.45510e-15      948.473      32.3006
       5866.2329  3.95861e-14  1.39449e-15      880.135      31.0043
       5867.3335  4.39394e-14  1.45433e-15      978.451      32.3853
       5868.4341  4.06207e-14  1.39541e-15      905.962      31.1219
       5869.5347  4.46757e-14  1.44671e-15      997.914      32.3150
       5870.6353  4.74151e-14  1.50924e-15      1060.59      33.7590
       5871.7359  5.04939e-14  1.53857e-15      1130.80      34.4559
       5872.8365  5.42226e-14  1.59505e-15      1215.98      35.7702
       5873.9371  5.99114e-14  1.66920e-15      1345.55      37.4886
       5875.0377  6.90724e-14  1.79335e-15      1553.79      40.3416
       5876.1383  7.79316e-14  1.89866e-15      1755.89      42.7791
       5877.2389  9.15854e-14  2.04143e-15      2066.84      46.0696
       5878.3395  9.53354e-14  2.07950e-15      2154.89      47.0034
       5879.4401  1.05844e-13  2.19133e-15      2395.70      49.5994
       5880.5407  1.11142e-13  2.23674e-15      2519.08      50.6966
       5881.6413  1.17842e-13  2.29743e-15      2674.62      52.1438
       5882.7419  1.21218e-13  2.33557e-15      2755.23      53.0863
       5883.8425  1.22759e-13  2.35600e-15      2794.37      53.6296
       5884.9431  1.22246e-13  2.36303e-15      2786.78      53.8689
       5886.0437  1.19112e-13  2.31091e-15      2719.05      52.7529
       5887.1443  9.77920e-14  2.11694e-15      2235.12      48.3844
       5888.2449  8.14657e-14  1.96119e-15      1864.13      44.8766
       5889.3455  7.94748e-14  1.96095e-15      1820.61      44.9214
       5890.4460  8.94470e-14  2.06671e-15      2051.34      47.3971
       5891.5466  1.14240e-13  2.27611e-15      2622.87      52.2578
       5892.6472  1.20700e-13  2.31830e-15      2774.28      53.2861
       5893.7478  1.10223e-13  2.22643e-15      2535.98      51.2253
       5894.8484  9.76776e-14  2.10604e-15      2249.42      48.4999
       5895.9490  9.90676e-14  2.11799e-15      2282.91      48.8070
       5897.0496  1.22638e-13  2.36148e-15      2827.61      54.4476
       5898.1502  1.53162e-13  2.59966e-15      3532.89      59.9648
       5899.2508  1.57854e-13  2.63620e-15      3642.67      60.8336
       5900.3514  1.57609e-13  2.64145e-15      3638.58      60.9808
       5901.4520  1.60767e-13  2.65883e-15      3712.98      61.4068
       5902.5526  1.63009e-13  2.67750e-15      3766.25      61.8626
       5903.6532  1.59790e-13  2.64919e-15      3693.33      61.2327
       5904.7538  1.57737e-13  2.63670e-15      3647.34      60.9681
       5905.8544  1.51788e-13  2.58607e-15      3510.92      59.8168
       5906.9550  1.49533e-13  2.56405e-15      3459.61      59.3222
       5908.0556  1.34447e-13  2.44311e-15      3111.36      56.5379
       5909.1562  1.41960e-13  2.50327e-15      3286.27      57.9491
       5910.2568  1.35729e-13  2.44702e-15      3143.11      56.6663
       5911.3574  1.32897e-13  2.43128e-15      3078.78      56.3248
       5912.4580  1.26338e-13  2.36625e-15      2928.16      54.8430
       5913.5586  1.25908e-13  2.36612e-15      2919.52      54.8649
       5914.6592  1.22051e-13  2.32528e-15      2831.61      53.9469
       5915.7598  1.19547e-13  2.30519e-15      2775.01      53.5098
       5916.8604  1.14596e-13  2.25385e-15      2661.53      52.3462
       5917.9610  1.12900e-13  2.24533e-15      2623.55      52.1765
       5919.0616  1.13264e-13  2.23462e-15      2634.63      51.9796
       5920.1622  1.07211e-13  2.17041e-15      2497.29      50.5561
       5921.2628  1.03883e-13  2.14809e-15      2423.52      50.1135
       5922.3634  1.04752e-13  2.14475e-15      2447.69      50.1152
       5923.4640  1.04096e-13  2.14337e-15      2436.53      50.1692
       5924.5646  9.88342e-14  2.11132e-15      2317.98      49.5173
       5925.6652  1.01394e-13  2.12186e-15      2383.19      49.8724
       5926.7658  1.00516e-13  2.09255e-15      2367.65      49.2901
       5927.8664  1.00617e-13  2.09133e-15      2375.17      49.3678
       5928.9670  9.71188e-14  2.07062e-15      2297.54      48.9846
       5930.0676  9.64178e-14  2.05615e-15      2285.88      48.7471
       5931.1682  9.59494e-14  2.05247e-15      2279.67      48.7648
       5932.2688  9.59472e-14  2.05264e-15      2284.53      48.8740
       5933.3694  9.81951e-14  2.06248e-15      2343.08      49.2138
       5934.4700  9.44170e-14  2.03665e-15      2257.76      48.7017
       5935.5706  9.45385e-14  2.02577e-15      2265.52      48.5455
       5936.6712  9.28006e-14  2.00106e-15      2228.63      48.0560
       5937.7717  9.55914e-14  2.01836e-15      2300.37      48.5710
       5938.8723  9.16006e-14  1.98250e-15      2208.86      47.8060
       5939.9729  8.72933e-14  1.93309e-15      2109.31      46.7103
       5941.0735  8.59368e-14  1.91810e-15      2080.78      46.4427
       5942.1741  8.68990e-14  1.92196e-15      2107.45      46.6109
       5943.2747  8.79332e-14  1.92896e-15      2135.69      46.8498
       5944.3753  8.57347e-14  1.90898e-15      2085.78      46.4423
       5945.4759  8.40814e-14  1.89825e-15      2049.82      46.2774
       5946.5765  8.24178e-14  1.87295e-15      2013.19      45.7499
       5947.6771  7.91814e-14  1.83131e-15      1937.42      44.8086
       5948.7777  8.11632e-14  1.84763e-15      1989.08      45.2802
       5949.8783  8.11977e-14  1.84895e-15      1993.73      45.3993
       5950.9789  7.94683e-14  1.83174e-15      1955.02      45.0630
       5952.0795  7.70586e-14  1.81012e-15      1899.62      44.6224
       5953.1801  7.87697e-14  1.82707e-15      1946.03      45.1382
       5954.2807  7.60227e-14  1.78979e-15      1882.26      44.3137
       5955.3813  7.13984e-14  1.74560e-15      1771.61      43.3135
       5956.4819  7.51123e-14  1.77026e-15      1867.81      44.0209
       5957.5825  7.21561e-14  1.74095e-15      1798.18      43.3856
       5958.6831  7.27959e-14  1.75393e-15      1818.04      43.8033
       5959.7837  7.26713e-14  1.75009e-15      1818.84      43.8019
       5960.8843  7.44460e-14  1.75523e-15      1867.27      44.0251
       5961.9849  7.47149e-14  1.75524e-15      1878.05      44.1199
       5963.0855  7.37325e-14  1.75075e-15      1857.33      44.1016
       5964.1861  7.27053e-14  1.72720e-15      1835.39      43.6018
       5965.2867  7.24475e-14  1.73097e-15      1832.80      43.7906
       5966.3873  7.12394e-14  1.72215e-15      1805.64      43.6496
       5967.4879  7.14255e-14  1.70900e-15      1813.16      43.3836
       5968.5885  7.01896e-14  1.70251e-15      1783.77      43.2670
       5969.6891  7.17299e-14  1.71023e-15      1824.94      43.5116
       5970.7897  7.14284e-14  1.70628e-15      1819.27      43.4589
       5971.8903  7.11136e-14  1.70307e-15      1813.12      43.4216
       5972.9909  7.26121e-14  1.71990e-15      1852.66      43.8825
       5974.0915  7.49694e-14  1.74464e-15      1914.15      44.5450
       5975.1921  7.77398e-14  1.78075e-15      1986.00      45.4924
       5976.2927  7.65429e-14  1.77462e-15      1956.26      45.3551
       5977.3933  8.05104e-14  1.81125e-15      2058.53      46.3110
       5978.4939  8.26155e-14  1.83384e-15      2113.26      46.9086
       5979.5945  8.26699e-14  1.83281e-15      2115.55      46.9024
       5980.6951  8.10060e-14  1.81244e-15      2073.87      46.4010
       5981.7957  8.11790e-14  1.81612e-15      2079.21      46.5155
       5982.8963  8.37304e-14  1.83756e-15      2145.48      47.0850
       5983.9969  8.66523e-14  1.86276e-15      2221.32      47.7515
