# N Sco 2012
# 2012-06-23T 1:32:19.5
# 
#     Wavelength       Flux    Uncertainty       Counts  Uncertainty
# 
       5958.6074  2.26832e-13  2.00658e-15      12920.9      114.300
       5959.7080  2.26258e-13  2.00263e-15      12901.2      114.189
       5960.8086  2.26845e-13  2.00330e-15      12947.4      114.340
       5961.9093  2.27185e-13  2.00486e-15      12979.5      114.541
       5963.0099  2.29114e-13  2.01179e-15      13102.0      115.045
       5964.1105  2.28006e-13  2.00621e-15      13050.1      114.827
       5965.2111  2.23762e-13  1.98764e-15      12818.1      113.861
       5966.3117  2.24058e-13  1.98745e-15      12846.7      113.953
       5967.4124  2.26516e-13  1.99732e-15      12999.3      114.622
       5968.5130  2.25291e-13  1.99144e-15      12940.5      114.387
       5969.6136  2.25747e-13  1.99384e-15      12977.8      114.622
       5970.7142  2.26688e-13  1.99708e-15      13046.9      114.941
       5971.8149  2.27199e-13  1.99768e-15      13094.3      115.134
       5972.9155  2.31267e-13  2.01288e-15      13348.2      116.179
       5974.0161  2.37636e-13  2.03960e-15      13735.6      117.891
       5975.1167  2.48034e-13  2.08038e-15      14356.9      120.418
       5976.2174  2.62163e-13  2.13663e-15      15195.9      123.847
       5977.3180  2.70938e-13  2.17162e-15      15727.4      126.058
       5978.4186  2.77783e-13  2.19732e-15      16148.2      127.736
       5979.5192  2.80693e-13  2.20739e-15      16341.1      128.508
       5980.6199  2.82922e-13  2.21395e-15      16496.1      129.087
       5981.7205  2.81289e-13  2.20578e-15      16425.9      128.807
       5982.8211  2.77258e-13  2.18737e-15      16215.2      127.927
       5983.9217  2.78734e-13  2.19200e-15      16327.6      128.402
       5985.0224  2.83031e-13  2.20666e-15      16605.7      129.467
       5986.1230  2.84258e-13  2.20938e-15      16704.2      129.833
       5987.2236  2.86253e-13  2.21448e-15      16849.5      130.350
       5988.3242  2.86094e-13  2.21166e-15      16868.5      130.402
       5989.4249  2.85516e-13  2.20842e-15      16861.5      130.421
       5990.5255  2.88558e-13  2.21822e-15      17068.6      131.211
       5991.6261  2.89266e-13  2.21868e-15      17138.4      131.452
       5992.7267  2.83604e-13  2.19500e-15      16830.5      130.263
       5993.8274  2.82320e-13  2.18948e-15      16778.5      130.123
       5994.9280  2.83528e-13  2.19219e-15      16873.3      130.461
       5996.0286  2.76237e-13  2.16224e-15      16460.4      128.844
       5997.1292  2.72381e-13  2.14527e-15      16249.8      127.984
       5998.2299  2.74300e-13  2.15192e-15      16382.3      128.521
       5999.3305  2.72023e-13  2.14356e-15      16264.0      128.161
       6000.4311  2.70869e-13  2.13741e-15      16211.2      127.922
       6001.5317  2.68874e-13  2.12630e-15      16107.6      127.382
       6002.6324  2.63574e-13  2.10546e-15      15806.0      126.260
       6003.7330  2.54940e-13  2.07138e-15      15302.6      124.333
       6004.8336  2.45662e-13  2.03252e-15      14759.5      122.115
       6005.9342  2.36911e-13  1.99550e-15      14247.1      120.003
